tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:528)
fark,prmax,0.1,0.0774083137512207,0.07739354799559806,False,-,120,-,-,0.10213357977485693,0.1,1,-
fark,prmax,0.1,0.13271093368530273,0.1326958419958828,False,-,117,-,-,0.10069817335760049,0.1,2,-
fark,prmax,0.1,0.18899059295654297,0.18897647499397863,False,-,117,-,-,0.10069817335760049,0.1,3,-
fark,prmax,0.1,0.24464774131774902,0.24465027000405826,False,-,117,-,-,0.10069817335760049,0.1,4,-
fark,prmax,0.1,0.299940824508667,0.29992569000751246,False,-,117,-,-,0.10069817335760049,0.1,5,-
fark,prmax exact,0.1,1802.0247673988342,7201.770402979004,True,-,35.0,9.0,-,0.11111111022929832,0.1,-,-
ltlsubsys,prmax minimal,0.1,1806.2833223342896,7203.420335389004,True,-,36.0,11.0,-,0.0,0.1,-,-
fark,prmax,0.30000000000000004,0.0819387435913086,0.08194707198708784,False,-,202,-,-,0.3085937449215108,0.30000000000000004,1,-
fark,prmax,0.30000000000000004,0.1454014778137207,0.14540000600391068,False,-,151,-,-,0.3007812449833137,0.30000000000000004,2,-
fark,prmax,0.30000000000000004,0.1963062286376953,0.19630964199313894,False,-,151,-,-,0.3007812449833137,0.30000000000000004,3,-
fark,prmax,0.30000000000000004,0.2540760040283203,0.25404913000238594,False,-,151,-,-,0.3007812449833137,0.30000000000000004,4,-
fark,prmax,0.30000000000000004,0.3110218048095703,0.3110266280127689,False,-,151,-,-,0.3007812449833137,0.30000000000000004,5,-
fark,prmax exact,0.30000000000000004,1801.5050420761108,7201.189018752004,True,-,47.0,9.0,-,0.3333333293433865,0.30000000000000004,-,-
ltlsubsys,prmax minimal,0.30000000000000004,1805.8513531684875,7203.756490896005,True,-,46.0,13.0,-,0.0,0.30000000000000004,-,-
fark,prmax,0.5,0.08180046081542969,0.08180439699208364,False,-,204,-,-,1.0,0.5,1,-
fark,prmax,0.5,0.1392526626586914,0.13925641399691813,False,-,149,-,-,0.9662446798918081,0.5,2,-
fark,prmax,0.5,0.2021195888519287,0.2021197040012339,False,-,140,-,-,0.8297872022721943,0.5,3,-
fark,prmax,0.5,0.2528378963470459,0.25284404899866786,False,-,137,-,-,0.7499999741256775,0.5,4,-
fark,prmax,0.5,0.30881500244140625,0.3088134170102421,False,-,125,-,-,0.6964285486584547,0.5,5,-
fark,prmax exact,0.5,1801.763723373413,7201.210611977003,True,-,63.0,10.0,-,0.4999999918444087,0.5,-,-
ltlsubsys,prmax minimal,0.5,1805.6485614776611,7204.744293696,True,-,67.0,16.0,-,0.0,0.5,-,-
fark,prmax,0.7,0.08266615867614746,0.08266954400460236,False,-,207,-,-,0.8182288627615273,0.7,1,-
fark,prmax,0.7,0.13967561721801758,0.13967929300270043,False,-,141,-,-,0.7026867198338895,0.7,2,-
fark,prmax,0.7,0.19671988487243652,0.19663468199723866,False,-,141,-,-,0.7026867198338895,0.7,3,-
fark,prmax,0.7,0.2529926300048828,0.25299404899124056,False,-,141,-,-,0.7026867198338895,0.7,4,-
fark,prmax,0.7,0.3161752223968506,0.31618765799794346,False,-,141,-,-,0.7026867198338895,0.7,5,-
fark,prmax exact,0.7,1802.0558426380157,7202.551641423008,True,-,67.0,10.0,-,0.733333308566913,0.7,-,-
ltlsubsys,prmax minimal,0.7,1805.724766254425,7204.651103510987,True,-,71.0,19.0,-,0.0,0.7,-,-
fark,prmax,0.8999999999999999,0.08260917663574219,0.08259603100304957,False,-,204,-,-,1.0,0.8999999999999999,1,-
fark,prmax,0.8999999999999999,0.1397535800933838,0.13973078101116698,False,-,143,-,-,0.9662446798918081,0.8999999999999999,2,-
fark,prmax,0.8999999999999999,0.1965184211730957,0.19649028799904045,False,-,139,-,-,0.9493670454143662,0.8999999999999999,3,-
fark,prmax,0.8999999999999999,0.25194525718688965,0.25194963699323125,False,-,139,-,-,0.9493670454143662,0.8999999999999999,4,-
fark,prmax,0.8999999999999999,0.3087959289550781,0.3087857560021803,False,-,139,-,-,0.9493670454143662,0.8999999999999999,5,-
